location,route_name,difficulty_rating,Description,Directions,Protection
Great Stone Face,The Thing,V3,"Sit start on a jug rail, then move up the overhang with a few big moves on crimps. Top out over the bulge without dabbing on the tree. 
 
I would say this is the most obvious and appealing line on this side of the boulder.","On the NE side of the boulder (i.e. left of the Great Stone Face), just left of two trees. The bottom jug rail will likely be chalked.",Pad and spotter
Diagonal Traverse Rock,Tractor Pull,V7,"Sit start left hand pocket and right hand crimp pull big move to a crimp then lip straight up to lip and top out. Exiting early on left arete is a separate easier line called ""Pull Out"".","On the forrest boulder, up the hill from the main grizzly peak boulder. Faces the road.",Pad
Indian Rock,The Ape Traverse,V3,"Sit start on horizontal rails near sidewalk, traverse low crack left into the 5.4 slab topout near sidwalk.",Small boulder near sidewalk,Crashpad
Indian Rock,The Ape,V2,Sit start on horizontal rail and go up short overhang near sidewalk.,Small boulder near sidewalk,Crashpad
Indian Rock,The Crack,V2,Start sitting with hands at the base of the broken crack. Stay on the crack/face (don't go to either arete). Fun finger jams! Crux is probably first move.,"It faces towards Indian Rock Ave, near the stairs to the top of Indian Rock. Small stand alone rock.",Pad
Indian Rock,The Edge Slab,V1,Small crimps to an insecure finish.,"This problem is between ""Transportation Crack"" and the ""Indian Arete"". Use only the crimps and avoid the crack. 
You can walk off the top climbing easy 5 toward the right.",Crash Pad
Indian Rock,Indian Arête,V0,Stand start on huge jug rail (same as Pegboard) and climb up and left around arête onto slab topout.,The Pit,Crashpad
Indian Rock,Little Prow,V2,The crack on the left is off route. Use only crimp and Jugs. Sit Start,"This problem is just right ""The Crack"", on the same boulder.",A crash pad is good idea
Indian Rock,Pegboard,V1,Stand start on the same good horizontal flake as white men can jump. Follow the obvious good edges up the slightly overhanging face. finish on the good horn at the top. Pretty strait forward but all in all pretty rewarding.,towards the back of the pit just to the right of the tree and the arete.,a pad and spotter.
Indian Rock,The Seam,V7,Sit start matched on the low crimp. Make a few moves to gain a right hand finger lock in the crack. Don't fall while topping out.,"The problem faces the street and is located on the suspended boulder above ""The Pit"". So instead of walking down the stairs, go slightly left and up the rock.","Pads, spotters."
Little Half Dome,Center-Left,V3,"Sit start on center rail. Move straight up, using as many left-facing sidepulls and gastons as you can, before topping out.",Center of Little Half Dome.,Crashpads
Little Half Dome,Center-Right,V3,"Sit start on center rail. Move up and right, then up high to a sidepull, high feet and slap up right to a slopey jug on top. Mantle up and over, or traverse left using a sidepull or two and blind feet to to jugs before topping out.",Center of Little Half Dome,crashpads
Little Half Dome,Downclimb,V0-,"Stand start on jugs, climb jugs to the top. First warm up of the day.",On the far right of Little Half Dome.,Crashpads
Little Half Dome,Far Left,V2,"Climb to the far left of the boulder, but not on the jugs. Sit start, move up to a good shelf, then up a series of crimps to to the juggy top out. Make it a little harder by starting on the rail further right, moving to sidepulls, then up to the shelf.",Far left of Little Half Dome,Crashpads
Little Half Dome,Little Half Dome Traverse,V3,Start far right at Downclimb. Traverse left across the boulder. Top out on Far Left or go back right again.,Little Half Dome.,Crashpads
Mortar Rock,Black Plague,V6-,Climb the line left of The Ramp. Several eliminants.,Mortar Rock-immediately left/adjacent to The Ramp.,pads
Mortar Rock,The Girls' Problem (sit),V5,"Sit start with awkward feet on a recessed crimp (right hand) and a sloping crimp (left hand), then work your way up vertically through some slippery pinches and sloping crimps to the top.","On the boulder that's on the right side of the stairs, slightly NW of the main rock. Just right of Left Arete and just left of Rimshot.",Maybe a pad if you want.
Mortar Rock,Impossible Wall,V8-9,"Pure bouldering, straight forward big pulls between OK holds. Used to have a tree below it that you could start standing on, now you need to stack pads for the original start or the low standing start is solid V9. 
 
Start with the left on a sidepull with a good thumb at the top and the right on an edge. Make a long move up right to a small edge then hand foot match, you have to pull your thumb off and put youor foot where it was, and pull through to an OK pocket in the back of a depression. Top out slightly right, not as easy as you want it to be. 
 
The lower start involves some sidepull and undercling moves to get to the high start.",On the far right side of the bulging wall right of Nat's Traverse from a high start.,"Pads and spotter, the problem gets pretty high."
Mortar Rock,Left Arete,V0+,A quick warmup with one biggish move at the beginning to an edge,Start sitting at the left corner of the smaller rock closest to the road where stairs lead up. Get to the top!,"Short Bouldering, Crashpad useful"
Mortar Rock,The Odyssey,V9,This is a good problem with the full crux at the first move. The climbing will become more casual the higher up... if you know where the holds are.,Start on the large hollow sounding flake with a right hand and a left on the tiny crimp.,Pads
