location,route_name,difficulty_rating,Description,Directions,Protection
East Rock,The Roof,V1-,"The roof to the far right of the rock. The v1 way is to approach the roof directly, without breaking off to either side.",,Pad
Great Stone Face,The Great Stone Face,V7,Definitely a Bay Area test piece.,,A pad or two.
Great Stone Face,Hoop Dreams,V4+,One move wonder on the right side of the boulder. Make a move to the lip while holding the swing.,,nada
Main Rock,Left Arete,V2,"Located on the left side of the west face of the main rock. Use the VO- ramp's feet as slopey hands while moving up and right on the edge of the west face. 
 
Not good enough for Chris Summit's new guidebook, but fun none-the-less.",,a pad would be nice
Main Rock,Scary Arete,V3,"This route ascends the scary overhang on the left side of the front (downhill) face on the Main Rock at Grizzly Peak. 
 
The V3 variation is a stand start, heading up to two pockets before getting your hands up over the lip of the scary overhand on the mantle ledge of the Scary Overhang. However, instead of pulling a mantle on this variation - go left staying on the overhung face and ""top out"" around the arete onto the warmup face.",,A Couple of pads to cover the nice rock in the landing are a good idea.
Main Rock,Scary Overhang,V5,Sweet pockets come after the first move then straight up over the slopey/crimpy highball top out!,,pads...duh
Main Rock,Scotts Arete,V5,"Stand start right of ""Scary Overhang"" and on the left-side of the arete.",,pads
Main Rock,Scotts Roof,V7,Stand start on the far right side of the main face and crank up and over a small roof on small edges and top out high and right! - - or start the same but angle up left into the jug on the direct arete and top out for the Wandering Arete V6/7 variation!,,pads
Main Rock,Warmup,V0-,"This route ascends the pockety slab face around the left side of the main rock, though still on the street side of the boulder. It's perhaps a little too easy for a really good warmup before you dive into the more difficult routes of the main rock. For something a little more pumpy and moderate, head into the rear rocks 10 seconds up the hillside.",,Don't fall!
Stinkbomb Boulder,Return of Stinkbomb A.K.A. Ejection Seat,V2,"Climb the leftmost arete on the Stinkbomb boulder, with hands and feet on the arete, and feet on the face. Climbing is tough for the first 3-4 moves, and then feet get techincal, but the climbing eases in difficulty. 
 
The route is named as such because it represents the first time that my dog Senior (aka Stinkbomb) has returned to the rock, which was first attacked by drunkenmaster and Brian several weeks ago and that day Senior decided to find a nice piece of human shit to rub his face in. Then after I'd climbed it, Melissa was attempting the second ascent and ejected down the hillside after a hold broke and stopped 3 feet from the road where a road biker was timed so she would've ended up on the road about 5 feet in front of him when he was going about 40 miles an hour. She was saved by a heel hook on a tree limb amongst her backflips as she rolled about 25 feet down. I was climbing Stinkbomb at the time, and all I could see was a splotch of yellow tumbling down the hillside, and could hear a bunch of people saying ""oh shit!""",,"A pad, and at least 3 spotters. Spotters protect not from the ground, but to prevent a tumble through the tree and down the steep embankment."
Stinkbomb Boulder,Stinkbomb,V4,Sit start with either left or right hand (or both hands) in a good 3 finger pocket and crank up the left side of the arete into the crimper V2 stand start to finish.,,Pad + spotter
Tall Traverse Rock,Tall Traverse,V3,"Start on the lower section of the rock where the pockets begin, and traverse your way around and up to the right. Top out where the rock gets squared off on the edge. 
 
Crux is getting yourself up the portion just below the top out.",,"place your crashpad in the section that has loose leaves on the higher section of the route, around the crux."
Indian Rock,Embryonic Journey,V2,"Pull a cool mantle move to the slab on the left of thepicture.Using the Watercourse wall on the right is definatelycheating.The top section of this slab can be a little unnerving, asthe slab as a whole is quite greasy.",,"A pad is nice, since a little usually finds you onyour ass."
Indian Rock,Ankle Buster,V0,"As you head down the stairs along the north side of Indian Rock to the Pit, there is a slab on your left. Balance up the faint set of holds in the middle of the slab without using your hands. Don't fall. Harder versions have been done to the left and the right, as well as traversing back and forth, all no-hands.",,Good balance and footwork
Indian Rock,The Bubble,V5,"Climb up and right from the flake traverse. You will see asmall hole about 2 feet up from the right side of the flake,and then a large jug looking thing 12 or so feet off theground. Hitting the jug is the crux, but you're still notdone yet! Hold on and find some feet as you use less thanideal holds to pull yourself over the edge. 
 
Be careful if you decide to fall, as the landing area issoft, but sometimes a little small for this climb. Logs,trees, and the first couple of feet of the rock itself areall potential hazards.",,Crashpad and some good balance will suffice.
Indian Rock,Center Overhang (aka Pitfall),V3,"This route ascends the lower overhung roof to the left of the chimney in the main bouldering area. It is located about 15 feet left of the main chimney. Begin the climb by starting up the face just on the left side of the roof, and then pull your way up the main section of the overhang. The top of the rock is off until you get to the basketball- like jug to the middle-right of the roof. 
 
There is a prominent sidepull about 10 feet off the ground, and the crux is getting a hand pulling from this sidepull to the basketball jug on the top. 
 
Be careful not to hit the lower section of the rock if you bail in the crux, as this slabby first five feet twisted my ankle on one attempt of this route.",,"A crashpad is nice, 3 would be great."
Indian Rock,Flake Traverse,V3,"This route ascends the large flake just to the right of the overhung wall (V0). This is located around the corner to the right from the main chimney, near the log benches. 
 
Start on up the lower-right side of the flake, and head up and left until the flake ends. Head left off the flake with a reachy move to a large crimp on the right side of the overhung wall. The crux is moving over to the overhung wall sidepull near the top. 
 
Another variation involves matching the crimp before moving your legs over.",,a crashpad or some buddies. You'll probably find a crashpad already underneath this route.
