parent location,location,long lat,description,directions,route names
Berkeley,Little Half Dome,"37.89339, -122.27224","This small boulder is located in the Morter rock city park back and left of the main wall. It is about 15 feet tall and slightly overhanging in the middle bulge of the rock. You know, it looks like half dome, wonder how it got it's name. 
 
Offering easier routes in the V0 - V3 range, Little Half Dome offers a warmup for people who don't feel like highballing the bench wall. It is also a great break for people killing themselves working on the many difficult problems on Mortar rock proper. 
 
Landings under Little Yosemite are for the most part rather flat, though a little bit sketchy under the left side of the rock.","From Mortar Rock proper, head left and momentarily downhill about 30 feet on the further out path. This will take you to the ""entrance"" of the park. Continue heading on this trail uphill another 30 feet, and it's the fifteen foot high rock that looks like half dome on the left side. Can't miss it.","Center-Left 
Center-Right 
Downclimb 
Far Left 
Little Half Dome Traverse"
Berkeley,Indian Rock,"37.89215, -122.27301","Inner city bouldering at its best. This area is located inside the city of Berkeley, and elimination problems are the rule. Indian Rock is a locals' favorite because of its easy approach and accessible setting. It can be busy after 5 and on weekends, but if you've got a couple of hours to spare, it's only a few miles from the Berkeley campus, and set in a nice upscale neighborhood. 
 
Rock is mostly smooth, but there is some sharper stuff on the upper area of the rock. 
 
Super classics include the main traverse, and the watercourse area. 
 
The main area is in the shade most of the time, though the tops of some routes can see some sun. 
 
Indian Rock is primarily a bouldering area, but there are a few routes that you might want a top rope. 
 
Descent off the top of the rock can be easily accomplished by walking off the back of most routes. 
 
An interesting History of this rock will be added at a later point, when I have a little more information on the rock.","From the UC Berkeley campus: 
 
Go North on Shattuck until it bends left and becomes Henry (which will turn into Sutter without you noticing). Follow it until just before the tunnel. Hang a right on Del Norte instead of going into the tunnel. Head up the hill to the Marin Circle. Leave the circle at the second right (the widest street you can take) and veer right onto Indian Rock Ave. Continue up the hill one long block until you see the prominent rock on the left. Park, and you're there. The main bouldering area is down the stairs on the right side of the rock. 
 
From the North: 
 
Take I-80 south. Exit on Gilman, and turn left (east) onto Gilman. Follow Gilman to a left on Hopkins street. Follow Hopkins up to the Marin circle. Turn right on the 4th street (the widest street leaving the circle), go slight right (and uphill) onto Indian Rock Ave. Head up the hill a long block until you see the prominent rock on the left. Park, and you're there. The main bouldering area is down the stairs on the right side of the rock. 
 
From the South: 
 
Follow directions from the North, except turn right on Gilman instead of left.","Embryonic Journey 
Ankle Buster 
Ape Traverse, The 
Ape, The 
Bubble, The 
Center Overhang (aka Pitfall) TR 
Crack, The 
Edge Slab, The 
Flake Traverse 
Indian Arête 
Indian Rock Traverse 
Little Prow 
No Hands Route 
Overhung Roof 
Overhung Wall - Right Exit 
Pegboard 
Seam, The 
Six Hold Traverse 
Transportation Crack TR 
Watercourse TR 
White Men Can't Jump"
Berkeley,Mortar Rock,"37.89328, -122.27241","A tougher area just up the hill from Indian rock. Almost all Bouldering, though some of the routes are highball enough that a top rope can be helpful. 
 
The area is usually in the shade, helped by some large trees that hide most of the rock from Indian Rock Ave. 
 
Decent is a simple walk off the back of the rock. 
 
If you're up to it, Nat's Taverse (V8) is a must do.","From the main rock, head up hill on Indian Rock Ave. The rock is about a block up on the right side. Approach time: 2 minutes from the main rock, 10 seconds if you park on the street by Mortar rock.","Bench Wall 
Black Plague 
Don't Worry, Be Snappy 
Girls' Problem (sit), The 
Impossible Wall 
Jungle fever 
Left Arete 
Nat's Traverse 
New Wave 
Odyssey , The 
Odyssey Sit, The 
Over the Bulge 
Ramp, The 
Red's Revenge 
Rimshot 
Stan's Treverse 
Sun Plague 
Sunshine (sit) 
Warmup Traverse 
 
Unsorted Routes:
Unsorted Routes:
Unsorted Routes:"
Berkeley,East Rock,"37.89227, -122.27232",This is the south facing wall directly across Indian Rock Ave from Indian Rock proper. It's generally a bit quieter than Indian Rock (not lots of loud couples and tourists checking out the view) and has a few fun problems.,Go to the east side of Indian Rock park. Large traversing south-facing wall in front of an open field.,"Roof, The"
Cragmont Park,Gomer's Pile,"37.89271, -122.25536","This rock is located away from the other climbing, and consists of only bouldering on a 12' tall rock. The main existing problem is also appropraitely called Gomer's Pile, and goes at V7. 
 
You will always find this rock in the shade hidden beneath the canopy of surrounding trees. 
 
All routes will walk off the back of this medium sized rock, watch your footing as the loose leaves in the area make footing quite interesting.","Access time: 2 minutes 
 
From the entrance to the park, instead of heading downhill and left to access the top rope sections, head right up towards the observation structure. About 30 yards up the paved path, head down into the manacured lawn behind the hedge on the right. 
 
Follow a small trail leading left into the trees for about 30 yards, and you're there.",
Great Stone Face Rock Park,East Boulder,,The larger (?) boulder,lies to the east of the other boulder,
Great Stone Face Rock Park,Great Stone Face,"37.89666, -122.27816",Across from the benches in the park.,Take Yosemite street.,"Great Stone Face, The 
Hoop Dreams 
Thing, The"
Grizzly Peak Boulders,Diagonal Traverse Rock,,"This moderately sized rock holds several excellent traverse routes just uphill and into the shady trees from the main rock. About 20 feet long and climbable for the first 8 - 12 feet, this rock holds some excellent problems in the V0 - V5 range. 
 
Altough the main rock is covered with poison oak, the intense shade from the surrounding trees keeps the ground around this rock covered with leaves, and fourtunately not covered in poison oak. 
 
All routes walk off the back.","Apporach time: 
 
Nov 16th - April 14th: 0 minutes 
April 15th - Nov 15th: 5 minutes, since you'll have to walk down grizzly peak about .2 miles from the next parking pullout. 
 
From the main parking pullout or entrance path from Grizzly Peak Ave, walk uphill on the left path around the main rock.The diagonal traverse rock will be right in front of you 20 feet ahead.",Tractor Pull
Grizzly Peak Boulders,Main Rock,,"This bouldering area was once home to at least one short aid climb up an overhung rock of 20 feet. However, in the past 10 years, people have freed routes directly up the face of the main rock from V3 up to Vveryhard. Most routes fall into the category of V5 to about V9, with flat (mostly) dirt landings. 
 
Pads are nice, as the upper reaches of most climbs don't let up and require spooky top outs to less steep terrain 12 or so feet off the ground. 
 
You'll find the rock in the sun on sunny days, as the rock faces southwest. However, due to the location atop the Berkeley Hills, many times this entire area will be in fog. 
 
No access issue. 
 
Walk off the back to the easier (5.6ish) 10' downclimb.","Approach time: Nov 16th - April 14th: 0 minutesApril 15th - Nov 15th: 5 minutes, since you'll have to walk down grizzly peak about .2 miles from the next parking pullout. 
 
From the main parking pullout or entrance path from Grizzly Peak Ave, walk uphill on the left path. If you can't see the rock from the street, you shouldn't be climbing it.","Left Arete 
Scary Arete 
Scary Overhang 
Scotts Arete 
Scotts Roof 
Warmup"
Grizzly Peak Boulders,Stinkbomb Boulder,,Short slightly overhanging face with a V4 sit start in a pocket or a V2 stand start.,Smaller boulder in the trees to the west of the main boulder.,"Return of Stinkbomb A.K.A. Ejection Seat 
Stinkbomb"
