parent location,location,lat long,description,directions,sub locations
,Cragmont Park,"37.892, -122.2635","This small area is located in Berkeley a little ways from Indian Rock. 
 
This area offers about a dozen climbs (5.6 - 5.11), primarily easier climbs that can be toproped. This would be a great place to bring beginners, as most climbs are not height dependant, and are fairly safe on toprope. The toughest route is sport, with 4 bolts. The routes are primarily shorter slab routes. 
 
There are no access problems, and according to the signs you could actually have a barbeque here and a nice game of basketball on the court located above the climbing area in the main park. 
 
All routes can be walked off.","From other places: Get off I-80 and head east from the Buchanan St / Albany exit. go 3 blocks, and take the soft right onto Marin ave. Follow the road up the hill to the traffic circle. Go around the circle and stay on Marin, which will be the fourth turn. Follow the road uphill to Regal Rd, where you should go right. follow regal a few blocks, and you'll find the park on the right side. Parking is on the street. 
 
From the Berkeley Campus:from the north side of campus, go uphill on Euclid Ave. Go up the hill for a while, and turn right on Regal Rd. The park is one block south.",Gomer's Pile; Northeast Face; Southeast Face
,Great Stone Face Rock Park,"37.8967, -122.2783","Standard Berkeley rock type, some crystals reminiscent of Cragmont rock park. 2 medium sized boulders, both are significantly smaller that mortar rock. One was recently cleaned of brush presumably by the city of berkeley. Not many people ever show up here to climb.","Go down or up Marin street to the Marin Circle, take the Arlington to Yosemite street, turn left, go a block down, and it is on the left. You can also go up Yosemite from the west.",East Boulder; Great Stone Face
,Grizzly Peak Boulders,"37.88143, -122.24296","This mostly hidden bouldering area is located about 10 minutes from the Berkeley campus. There aren't too many routes here, nor are there many rocks, though the ones that exist are have excellent variety in difficulty, ranging from V0 to V9 or harder. Rocks range from 8 feet tall to around 20. As some of the poison oak has been peeled back from the landings of many of the rocks, this area has seen additional traffic in recent years. However, you will still probably be alone in the shady trees surrounding most of the rocks here. 
 
You will find interesting traversy problems, in addition to some challenging overhung routes on the large initial main rock. 
 
The rock is a volcanic mix that is signature of bouldering in Berkeley, with similar rock found at Indian Rock. Some of the rock is crumbly, though it has cleaned up for the most part on established routes. 
 
Perhaps these rocks and climbs have names, but I'm not aware of most of them. If you know the names, please let me know, and I'll update any descriptions. 
 
The rocks continue into the trees, and up for a ways, though climbable rocks stop after 40 yards or so.","Exit I-80 on University heading east towards the Berkeley campus. At campus, where University ends, take a right turn on Oxford. Continue 4 blocks to Dwight, and head up Dwight past the dorms and through the roundabout to Prospect. Go left on Prospect, and stay on Prospect 1 block until a forced right (or you'll go into Berkeley's Memorial statium parking lot), onto to Stadium Rim Way. Follow this along the top of the stadium up to the stop sign, where you should go right on Centennial Drive. Stay on Centennial past Lawrences Berkeley labs until the stop sign at the top of the hill, which is about 2 miles. Take a right on Grizzly Peak Blvd at the stop sign. Travel about 1/3 of a mile, and you will see some Boulders on the left side of the road. 
 
From the South: 
 
From Westbound 24 (after the Bay Bridge, Highway 13 or 880) the 13 North exit towards Berkeley. Follow this into Berkeley first up and then down the winding tunnel road until the third stop light, where you shuold go right on Domingo Ave. This short street will head left after 1 block, and then into a stop sign, which is Claremont Avenue. Head up the Canyon to the top of the hill, which is about 2 miles. At the stop sign at the top, take a left on Grizzly Peak road, and the rocks will be clearly visible on the right 30 feet from the road about 3 miles later after a couple of consecutive 15 mile per hour turns. 
 
From Eastbound 24 (Contra Costa County / San Jose / Central Valley, etc): 
 
Just before the Caldecott Tunnel, exit highway 24 on Fish Ranch Road. follow the winding exit ramp uphill, until a right turn on to Fish Ranch Road at the stop sign. Follow Fish Ranch uphill to the stop sign, which is Grizzly Peak where you should go right. The rocks will be clearly visible on the right 30 feet from the road about 2 miles later after a couple of consecutive 15 mile per hour turns. 
 
Parking November 16th - April 14th is on either side of the road (assuming it's wide enough not to interrupt through traffic on Grizzly peak) near the boulders. 
 
Parking April 15th - November 15th is uphill (southward) about .2 miles to a pullout on the East side of the road.",Diagonal Traverse Rock; Main Rock; Stinkbomb Boulder; Stoner's Cave; Tall Traverse Rock
,Remillard Park,"37.8923, -122.2611","One of the many high-quality North Berkeley rocks. Climbs range from 15 to 30 feet and are usually top roped. Due to the humid climate, moss is an issue here, and can obstruct usable holds.","Exit 80 and head east from the Buchanan St / Albany exit. go 3 blocks, and take the soft right onto Marin ave. Follow the road up the hill to the traffic circle. Go around the circle and stay on Marin, which will be the fourth turn. Take a right on Hildale, then a left on Poppy Lane. Remillard park will be on the right.",Pinnacle Rock; Plaque Rock; South Formation; West Boulder
,Black Sand Beach,"37.8251, -122.5138","Black Sand Beach is a bouldering spot located west of the Golden Gate Bridge in Marin County in the Golden Gate National Recreation Area. From the beach you have a great view of the Golden Gate Bridge and the Pacific Ocean. A great spot to go to if you can't afford to do a full day trip and are up for a little adventure and exploring. There are two coves, Hidden Cove and Last Cove. Both are a stone's throw away from the ocean and Last Cove is only accessible during low tide and low swell. It is worth checking out for its descent bouldering and proximity to the city; if not just for the great Pacific atmosphere.","From San Francisco, take N101 and exit at Alexander Ave. making a left going underneath the 101 until reaching Conzelman Rd. From Marin, take S101 and take Alexander Ave as well making a left and immediately hitting Conzelman Ave. From both directions, continue up Conzelman Ave until it turns into a one-way road down a steep 18% grade. About 3.5 mile from the 101 there is a paved parking lot on the left. From the lot, walk down the steps to the beach and turn right and walk until you come up to the cliff and hike over the center gulley. On the second beach, you'll first come across Hidden Cove. To get to Last Cove, walk to the end of the second beach until the end. You'll notice an old Army lookout box or bunker positioned on the cliff. Scramble your way through the boulders on a mellow path heading left making your way over to the third beach. Don't go direct over the unstable looking cliff. Once on the third beach, you'll notice a chossy but promising looking cliff on the right and Last Cove is beyond that at the end.",Hidden Cove; Last Cove
,Castle Rock Area,"37.23049, -122.09476","Surrounding Castle Rock State Park is one of the larger climbing regions in the area, hosting a variety of sport, trad, bouldering and top rope problems. 
 
The rock is mostly sandstone, making it fairly easy on the hands and dynos quite slap happy. 
 
Access into the main park will cost you a couple of dollars, but that shouldn't deter you. If money is a concern, you can also park outside the main area and walk into the park. 
 
The bouldering at Castle Rock is some of the best in the state. 
 
If you're looking for a place to stay the night, there is a hike in campground 2.8 miles from the parking lot. It's a nice little spot that is rarely busy. 
 
Always visit the Castle Rock State Park website for fairly current official information.","From the north: Drive to the town of Saratoga, which is located a little southwest of San Jose. Find Saratoga by heading south on the 101 a little past the Dumbarton Bridge. Take the 85 south exit, which is also the Cupertino / Santa Cruz exit. Take 85 south for about 10 miles, and exit on Saratoga Ave. Go right onto Saratoga, and follow this road through town. Saratoga Ave becomes Hwy 9, or Big Basin Way. Go up the mountain, and hang a left on Skyline Boulevard (35), which will be the 1st major intersection out of town. The main park is about 2.5 miles up on the right side, and is prominently marked. 
 
If you park outside of the parking lot, be aware that the free parking areas within the marked parking zones can fill up very quickly on weekends with good weather, Do not park in areas which are not within the marked parking zones or have the end of your vehicle extending into the street otherwise you will get a ticket, Lastly, be careful about getting your vehicle stuck in the ditch near the parking spots - it happens often.","* Castle Rock Area Bouldering; Billy Goat Rock; California Ridge; Castle Rock Proper; Chew Tooth; Devil's Canyon; Eagle Peak Area; Globule, The; Goat Rock; Handley Rock Park; Hostess, The; Indian Rock; Last Temptation Cliff; Lower Guadalupe Rock; Lyme Disease Rock; Mount Doom; Platypus; Shady Rock; Skyline Slabs; Stevens Canyon Boulder; Summit Rock; Underworld Rock; Voyeur; Waterfall Cliff"
,Berkeley,"37.89017, -122.27239","Urban bouldering is found in a number of park around the city of Berkeley. 
 
Afterwards, a decent selection of beer can be found at the local Safeway, which is on Shattuck Place about a mile south of the rock. There are also numerous breweries and bars in Berkeley's downtown area, and also on Telegraph Avenue, which can be found just south of the U.C. Berkeley campus. 
 
Camping can be done in a few nearby parks. Check the East Bay Regional Park District Camping web page for current details.",See specific locations for directions.,
,San Francisco,"37.81843, -122.28806","While not generally thought of as a destination area for rock climbing, the pure number of visitors that head to the bay area for other purposes make this a great location for a quick day on the rock in between other commitments. 
 
You can climb year round in the Bay Area, provided that winter rains haven't pummeled the area too recently. Often, inland areas are extremely hot in the summer, though the coastal areas will stay pleasant. 
 
American Big Wall climbing took its first roots here, with locals practicing their skills on local rocks before heading to Yosemite for its renowned cliffs. Almost every area that has a chimney in Northern California was first climbed by Warren Harding or Forrest Shute, and you will often see a piton stuck in the rock left over from climbers of another age. 
 
Berkeley, Castle Rock and Sonoma will hold your attention for a great day of bouldering.

Unfortunately, a significant portion of the best climbing in the Bay Area is on private property, and unless you're in the know, you don't get to go. 
 ",See specific locations for directions. ,
,Coyote Hills,"37.5512, -122.0866","Located right next to the San Francisco Bay, Coyote Hills is a hidden gem in the East Bay. 
 
The climate is typical of the Bay Area, mostly mild,although it can get rather windy. 
 
The park will range from empty on weekdays, to fairly crowded on Saturday and Sunday mornings. 
 
All of the climbing spots are secluded, with very little amounts of shade. 
 
This is not a climbing mecca, so chances are that you'll have the area to yourself. 
 
The rock is metamorphic, and very solid. It is highly unlikely that any hold will break. 
 
In some locations, the rock is sharp, so watch your hands. 
 
This is mainly an easy climbing area, it can be used for low toproping of 5.10 or less, or it could be used for highball bouldering of widely ranging grades. 
 
There is some hard stuff that you could do here.","Coyote Hills is at the west end of Patterson Ranch Road/Commerce Drive in Fremont. From I-880, take Highway 84 west, exit at Paseo Padre Parkway, turn right, and drive north about one mile. Turn left on Patterson Ranch Road. This is the park's entrance road and will take you to the picnic areas and visitor center. Parking fees may apply.",Castle Rock Boulder; Red Hill
,Indian Joe Caves,"37.51545, -121.83053","Located south-east of Pleasanton, Sunol Regional Wilderness presently only has developed climbing at Indian Joe Caves, but other opportunities appear to exist as well. There's a pretty wide variety of rock types in the park, but Indian Joe caves is meta basalt. While approaching the area, you can see some rocks on the top of a hill west of the main entrance, this is called flag mountain and appears to have climbing on it, though development has been discouraged because of concerns it would disrupt raptor nesting. There's a $4 entrance fee and the gate gets locked a little after dusk (9 p.m. in August), though camping is permitted in the park. 
 
A pile of meta basalt rocks, Indian Joe caves offers top roping, bouldering and the occasional trad lead on formations reaching up to 40 feet. The holds tend to be either angular or crimpy and the climbing can be anything from slab, cracks, chimney, impressive aretes, or overhung faces. There's also a wide range of existing climbs, 5.3 to 5.12c. There is also the potential for several climbs with difficulties considerably higher.In the summer, Indian Joe Caves get pretty warm and it would be wisest to avoid climbing the routes that get sun, as the black rock absorbes the sun's heat and makes climbing almost unbearable. Fortunately, there's always a handful of climbs that never get sun and therefore are a lot cooler than their brighter counterparts. 
 
Visit the Sunol Regional Wilderness park website for the latest official information on visiting it.","From the 680-580 interchange, take 680 south 8 miles to the highway 84/Calaveras road. Go left on Calaveras and follow it past where the speed limit drops to 25. Shortly after the speed limit change go left (4.3 miles from the turn onto Calaveras) on Geary Road. Shortly thereafter you'll reach the fee station. 
 
After entering the park, pass the first left turn (about 50 yards in), which heads to the visitors center, and park just beyond on the left side of the road next to a trailhead (about another 50 yards). Hike across the wooden bridge over a stream, and head right at the junction. Continue another 50 yards until you come to Hayfield Road (which you're not allowed to drive on... though bikes and horses are permitted). Go left on Hayfield road and walk up the road for .8 miles. There's an obvious sign directing you to Indian Joe Caves, follow it right, you'll be able to see the crag up the hill on your left a little ways down this smaller trail. This will meet with the Indian Joe Creek Trail and continue up hill for another ~300 yards until you arrive at the crag. The first landmark is the tallest rock, with a sharp arete on the right, the arete is Orange Arete (11a) and the face is Little Eiger (12c). Paths circumnavigate the climbing area, and most of the warm-up stuff is reached fastest by going clockwise around the area to the backside.",Cleavage Rock; Edge Rock; Indian Joe Caves bouldering; Little Eiger
